epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,812.553,2.09802,7.88995,2.47969,0.385,0.32824,0.28369,0.19776,2.20823,6.82482,2.50399,0.000138446,0.000138446,0.000138446
2,1855.08,2.3673,5.81621,2.64644,0.42702,0.36534,0.3402,0.23052,2.38261,6.16588,2.65601,0.000274699,0.000274699,0.000274699
3,2912.43,2.45008,5.38424,2.72582,0.38132,0.31492,0.27332,0.16531,2.68385,6.33803,2.9278,0.000408201,0.000408201,0.000408201
4,2212.39,2.45031,5.00848,2.73913,0.46071,0.40619,0.37957,0.23584,2.63828,5.31531,2.86372,0.000404615,0.000404615,0.000404615
5,4210.28,2.4115,4.45165,2.68263,0.45493,0.3765,0.37452,0.23989,2.59052,4.77292,2.79938,0.000400487,0.000400487,0.000400487
6,6158.1,2.357,4.12065,2.65145,0.51149,0.40203,0.40753,0.25899,2.57016,4.49897,2.77522,0.000396358,0.000396358,0.000396358
7,10168.5,2.41139,4.07252,2.6986,0.53859,0.4331,0.44711,0.28941,2.52316,4.18117,2.75661,0.00039223,0.00039223,0.00039223
8,970.531,2.32162,3.74604,2.64215,0.53166,0.45314,0.44842,0.28935,2.58567,4.05107,2.83404,0.000388102,0.000388102,0.000388102
9,2273.88,2.2898,3.46893,2.59436,0.54356,0.44424,0.45695,0.30016,2.53566,3.83859,2.78432,0.000383974,0.000383974,0.000383974
10,3538.36,2.23656,3.27865,2.56748,0.55687,0.46784,0.48291,0.31612,2.4986,3.65575,2.75247,0.000379845,0.000379845,0.000379845
11,4828.29,2.26711,3.27901,2.59669,0.56778,0.48119,0.49712,0.31711,2.56138,3.59336,2.78255,0.000375717,0.000375717,0.000375717
12,6371.27,2.38671,3.43863,2.67381,0.57987,0.49093,0.52173,0.34161,2.48618,3.38074,2.71864,0.000371589,0.000371589,0.000371589
13,7939.23,2.34561,3.29933,2.64215,0.65942,0.52407,0.56449,0.37461,2.44835,3.23397,2.67422,0.00036746,0.00036746,0.00036746
14,3586.64,2.20372,3.00543,2.5475,0.60637,0.52055,0.54497,0.36302,2.44184,3.34144,2.67743,0.000363332,0.000363332,0.000363332
15,6873.51,2.16849,2.84849,2.51221,0.68583,0.47293,0.55463,0.36855,2.48474,3.23959,2.70101,0.000359204,0.000359204,0.000359204
16,10419.1,2.11723,2.73334,2.48172,0.64392,0.51827,0.54801,0.35879,2.49394,3.21473,2.75142,0.000355076,0.000355076,0.000355076
17,13923.3,2.13606,2.75283,2.50219,0.64902,0.53556,0.57544,0.38384,2.5132,3.09127,2.73578,0.000350947,0.000350947,0.000350947
18,17690.3,2.20965,2.85371,2.5536,0.64649,0.52776,0.57819,0.37906,2.46536,3.09281,2.70278,0.000346819,0.000346819,0.000346819
19,19765.7,2.17689,2.73361,2.52261,0.64195,0.52986,0.57605,0.389,2.43784,3.10666,2.69877,0.000342691,0.000342691,0.000342691
20,23629.8,2.27111,2.86399,2.57404,0.64094,0.56097,0.59129,0.39229,2.50065,2.98977,2.70469,0.000338562,0.000338562,0.000338562
21,27511.7,2.26911,2.87419,2.57517,0.69523,0.56252,0.61589,0.41183,2.42674,2.94773,2.67875,0.000334434,0.000334434,0.000334434
22,31922.7,2.22305,2.78181,2.5472,0.65037,0.56471,0.60095,0.41052,2.41772,2.89837,2.64514,0.000330306,0.000330306,0.000330306
23,36526.6,2.24914,2.79421,2.54245,0.67592,0.5473,0.60703,0.40696,2.41998,2.87864,2.6597,0.000326177,0.000326177,0.000326177
24,40906.1,2.19701,2.6886,2.52647,0.71604,0.53806,0.60658,0.41065,2.38364,2.88744,2.66366,0.000322049,0.000322049,0.000322049
